Info | CBot instance [Combo, UK100.cash, h1] started.
23/01/2026 06:00:09.207 | Info | Combo: bartime=2026-01-23 05:00, executed=2026-01-23 06:00:09, pending Buy placed at 10166.1; SL=10157.055022303799, TP=10189.779751608656; valid for the next 3 chart bar(s).
23/01/2026 15:00:00.105 | Trade | Placing Stop Order to Sell 3.24 UK100.cash (Price: 10132.2, SL: 10153.0318655658, TP: 10077.66)
23/01/2026 15:00:00.105 | Trade | → Placing Stop Order to Sell 3.24 UK100.cash (Price: 10132.2, SL: 10153.0318655658, TP: 10077.66) SUCCEEDED, PendingOrder OID61
23/01/2026 15:00:00.105 | Info | Combo: bartime=2026-01-23 14:00, executed=2026-01-23 15:00:00, pending Sell placed at 10132.2; SL=10153.031865565796, TP=10077.66217594875; valid for the next 3 chart bar(s).
26/01/2026 08:00:00.008 | Trade | Placing Stop Order to Buy 4.2 UK100.cash (Price: 10164.7, SL: 10148.8140367288, TP: 10206.29)
26/01/2026 08:00:00.008 | Trade | → Placing Stop Order to Buy 4.2 UK100.cash (Price: 10164.7, SL: 10148.8140367288, TP: 10206.29) SUCCEEDED, PendingOrder OID64
26/01/2026 08:00:00.008 | Info | Combo: bartime=2026-01-26 07:00, executed=2026-01-26 08:00:00, pending Buy placed at 10164.7; SL=10148.814036728845, TP=10206.289451843884; valid for the next 3 chart bar(s).
26/01/2026 11:00:00.144 | Trade | Placing Stop Order to Buy 3.05 UK100.cash (Price: 10163.7, SL: 10142.0407868052, TP: 10220.4)
26/01/2026 11:00:00.144 | Trade | → Placing Stop Order to Buy 3.05 UK100.cash (Price: 10163.7, SL: 10142.0407868052, TP: 10220.4) SUCCEEDED, PendingOrder OID67
26/01/2026 11:00:00.144 | Info | Combo: bartime=2026-01-26 10:00, executed=2026-01-26 11:00:00, pending Buy placed at 10163.7; SL=10142.04078680517, TP=10220.403820144069; valid for the next 3 chart bar(s).
27/01/2026 18:00:00.943 | Trade | Placing Stop Order to Sell 2.8 UK100.cash (Price: 10177, SL: 10200.3279467393, TP: 10115.93)
27/01/2026 18:00:00.943 | Trade | → Placing Stop Order to Sell 2.8 UK100.cash (Price: 10177, SL: 10200.3279467393, TP: 10115.93) SUCCEEDED, PendingOrder OID70
27/01/2026 18:00:00.943 | Info | Combo: bartime=2026-01-27 17:00, executed=2026-01-27 18:00:00, pending Sell placed at 10177; SL=10200.327946739311, TP=10115.927435436482; valid for the next 3 chart bar(s).
27/01/2026 21:00:00.352 | Trade | Placing Stop Order to Sell 3.07 UK100.cash (Price: 10174.8, SL: 10195.9063087305, TP: 10119.54)
27/01/2026 21:00:00.352 | Trade | → Placing Stop Order to Sell 3.07 UK100.cash (Price: 10174.8, SL: 10195.9063087305, TP: 10119.54) SUCCEEDED, PendingOrder OID73
27/01/2026 21:00:00.352 | Info | Combo: bartime=2026-01-27 20:00, executed=2026-01-27 21:00:00, pending Sell placed at 10174.8; SL=10195.906308730526, TP=10119.543683743479; valid for the next 3 chart bar(s).
28/01/2026 01:00:00.143 | Trade | Cancelling pending order OID73
28/01/2026 01:00:00.143 | Trade | → Cancelling pending order OID73 SUCCEEDED
28/01/2026 01:00:00.143 | Info | Combo: pending order 73 cancelled after 3 chart bars.
28/01/2026 02:00:00.444 | Info | Combo: MARGIN GUARD - order size reduced. Signal wanted 4.78 units, which needs about $4650.54 margin. Limit hit: MaxMarginPercent limit hit (50.0% of equity = $4370.68 budget, free margin was $8741.36). Size was cut from 4.78 to 4.40 units. Real risk on this trade is now about $80.30 (0.92% of balance) instead of the requested 1.00%.
28/01/2026 02:00:00.444 | Trade | Placing Stop Order to Sell 4.4 UK100.cash (Price: 10179.6, SL: 10193.1396992448, TP: 10144.15)
28/01/2026 02:00:00.444 | Trade | → Placing Stop Order to Sell 4.4 UK100.cash (Price: 10179.6, SL: 10193.1396992448, TP: 10144.15) SUCCEEDED, PendingOrder OID74
28/01/2026 02:00:00.444 | Info | Combo: bartime=2026-01-28 01:00, executed=2026-01-28 02:00:00, pending Sell placed at 10179.6; SL=10193.139699244819, TP=10144.153067377063; valid for the next 3 chart bar(s).
28/01/2026 05:00:00.443 | Trade | Cancelling pending order OID74
28/01/2026 05:00:00.443 | Trade | → Cancelling pending order OID74 SUCCEEDED
28/01/2026 05:00:00.443 | Info | Combo: pending order 74 cancelled after 3 chart bars.
28/01/2026 09:00:00.144 | Trade | Placing Stop Order to Sell 3.46 UK100.cash (Price: 10186.3, SL: 10204.9887108151, TP: 10137.37)
28/01/2026 09:00:00.144 | Trade | → Placing Stop Order to Sell 3.46 UK100.cash (Price: 10186.3, SL: 10204.9887108151, TP: 10137.37) SUCCEEDED, PendingOrder OID75
28/01/2026 09:00:00.144 | Info | Combo: bartime=2026-01-28 08:00, executed=2026-01-28 09:00:00, pending Sell placed at 10186.3; SL=10204.988710815067, TP=10137.372955086154; valid for the next 3 chart bar(s).
29/01/2026 03:00:01.243 | Trade | Placing Stop Order to Buy 3.82 UK100.cash (Price: 10180.4, SL: 10162.9808908883, TP: 10226)
29/01/2026 03:00:01.243 | Trade | → Placing Stop Order to Buy 3.82 UK100.cash (Price: 10180.4, SL: 10162.9808908883, TP: 10226) SUCCEEDED, PendingOrder OID78
29/01/2026 03:00:01.243 | Info | Combo: bartime=2026-01-29 02:00, executed=2026-01-29 03:00:01, pending Buy placed at 10180.4; SL=10162.980890888277, TP=10226.00322765449; valid for the next 3 chart bar(s).
29/01/2026 16:00:00.043 | Trade | Placing Stop Order to Sell 1.86 UK100.cash (Price: 10171, SL: 10207.5976580754, TP: 10075.19)
29/01/2026 16:00:00.043 | Trade | → Placing Stop Order to Sell 1.86 UK100.cash (Price: 10171, SL: 10207.5976580754, TP: 10075.19) SUCCEEDED, PendingOrder OID81
29/01/2026 16:00:00.043 | Info | Combo: bartime=2026-01-29 15:00, executed=2026-01-29 16:00:00, pending Sell placed at 10171; SL=10207.597658075447, TP=10075.18733115848; valid for the next 3 chart bar(s).
30/01/2026 01:00:00.140 | Trade | Placing Stop Order to Sell 3.63 UK100.cash (Price: 10195.3, SL: 10213.9244343698, TP: 10146.54)
30/01/2026 01:00:00.140 | Trade | → Placing Stop Order to Sell 3.63 UK100.cash (Price: 10195.3, SL: 10213.9244343698, TP: 10146.54) SUCCEEDED, PendingOrder OID84
30/01/2026 01:00:00.140 | Info | Combo: bartime=2026-01-30 00:00, executed=2026-01-30 01:00:00, pending Sell placed at 10195.3; SL=10213.924434369806, TP=10146.541230819843; valid for the next 3 chart bar(s).
