Info | CBot instance [MA Cross, GER40.cash, m30] started.
22/01/2026 12:00:00.105 | Info | MA Cross: bartime=2026-01-22 11:30, reversal - closing existing Buy position 23 before opening opposite direction.
22/01/2026 12:00:00.105 | Trade | Closing position PID23 (Volume: 0.71)
22/01/2026 12:00:00.105 | Trade | → Closing position PID23 (Volume: 0.71) SUCCEEDED
22/01/2026 12:00:00.105 | Trade | Executing Market Order to Sell 1.43 GER40.cash (SL: 57.88, TP: 151.53)
22/01/2026 12:00:00.105 | Trade | → Executing Market Order to Sell 1.43 GER40.cash (SL: 57.88, TP: 151.53) SUCCEEDED, Position PID24
22/01/2026 12:00:00.105 | Info | MA Cross: bartime=2026-01-22 11:30, executed=2026-01-22 12:00:00, market Sell placed; SL=57.879990995428074 pips, TP=151.5298164260307 pips.
23/01/2026 06:00:02.705 | Info | MA Cross: MARGIN GUARD - order size reduced. Signal wanted 4.01 units, which needs about $7963.06 margin. Limit hit: MaxMarginPercent limit hit (50.0% of equity = $4841.03 budget, free margin was $9682.06). Size was cut from 4.01 to 2.38 units. Real risk on this trade is now about $57.38 (0.59% of balance) instead of the requested 1.00%.
23/01/2026 06:00:02.705 | Trade | Executing Market Order to Buy 2.38 GER40.cash (SL: 20.44, TP: 53.52)
23/01/2026 06:00:02.705 | Trade | → Executing Market Order to Buy 2.38 GER40.cash (SL: 20.44, TP: 53.52) SUCCEEDED, Position PID25
23/01/2026 06:00:02.705 | Info | MA Cross: bartime=2026-01-23 05:30, executed=2026-01-23 06:00:02, market Buy placed; SL=20.443917442317712 pips, TP=53.52217586398777 pips.
26/01/2026 00:30:00.145 | Trade | Executing Market Order to Sell 1.38 GER40.cash (SL: 58.92, TP: 154.26)
26/01/2026 00:30:00.145 | Trade | → Executing Market Order to Sell 1.38 GER40.cash (SL: 58.92, TP: 154.26) SUCCEEDED, Position PID26
26/01/2026 00:30:00.145 | Info | MA Cross: bartime=2026-01-26 00:00, executed=2026-01-26 00:30:00, market Sell placed; SL=58.92419421791098 pips, TP=154.26354046249094 pips.
27/01/2026 12:30:00.244 | Trade | Executing Market Order to Sell 2.21 GER40.cash (SL: 36.42, TP: 95.34)
27/01/2026 12:30:00.244 | Trade | → Executing Market Order to Sell 2.21 GER40.cash (SL: 36.42, TP: 95.34) SUCCEEDED, Position PID27
27/01/2026 12:30:00.244 | Info | MA Cross: bartime=2026-01-27 12:00, executed=2026-01-27 12:30:00, market Sell placed; SL=36.41793368501652 pips, TP=95.34215038737325 pips.
28/01/2026 05:30:42.545 | Info | MA Cross: MARGIN GUARD - order size reduced. Signal wanted 3.28 units, which needs about $6513.43 margin. Limit hit: MaxMarginPercent limit hit (50.0% of equity = $4711.90 budget, free margin was $9423.79). Size was cut from 3.28 to 2.32 units. Real risk on this trade is now about $66.52 (0.71% of balance) instead of the requested 1.00%.
28/01/2026 05:30:42.545 | Trade | Executing Market Order to Buy 2.32 GER40.cash (SL: 24.31, TP: 63.65)
28/01/2026 05:30:42.545 | Trade | → Executing Market Order to Buy 2.32 GER40.cash (SL: 24.31, TP: 63.65) SUCCEEDED, Position PID28
28/01/2026 05:30:42.545 | Info | MA Cross: bartime=2026-01-28 05:00, executed=2026-01-28 05:30:42, market Buy placed; SL=24.311974613865754 pips, TP=63.64874953910054 pips.
28/01/2026 11:00:00.144 | Trade | Executing Market Order to Sell 1.78 GER40.cash (SL: 44.35, TP: 116.11)
28/01/2026 11:00:00.144 | Trade | → Executing Market Order to Sell 1.78 GER40.cash (SL: 44.35, TP: 116.11) SUCCEEDED, Position PID29
28/01/2026 11:00:00.144 | Info | MA Cross: bartime=2026-01-28 10:30, executed=2026-01-28 11:00:00, market Sell placed; SL=44.35207252522695 pips, TP=116.11372587104415 pips.
28/01/2026 23:05:00.009 | Trade | Executing Market Order to Buy 1.9 GER40.cash (SL: 41.29, TP: 108.09)
28/01/2026 23:05:00.009 | Trade | → Executing Market Order to Buy 1.9 GER40.cash (SL: 41.29, TP: 108.09) SUCCEEDED, Position PID30
28/01/2026 23:05:00.009 | Info | MA Cross: bartime=2026-01-28 21:30, executed=2026-01-28 23:05:00, market Buy placed; SL=41.2854614966633 pips, TP=108.08533819826452 pips.
29/01/2026 07:30:04.145 | Trade | Executing Market Order to Sell 1.42 GER40.cash (SL: 54.67, TP: 143.14)
