Info | CBot instance [Combo, XAUUSD, h1] started.
20/01/2026 00:00:00.399 | Info | Combo: bartime=2026-01-19 23:00, executed=2026-01-20 00:00:00, pending Sell placed at 4663.76; SL=4673.886079352141, TP=4637.249924256097; valid for the next 3 chart bar(s).
21/01/2026 17:00:00.006 | Trade | Placing Stop Order to Sell 2 XAUUSD (Price: 4818.98, SL: 4850.77703226722, TP: 4735.74)
21/01/2026 17:00:00.006 | Trade | → Placing Stop Order to Sell 2 XAUUSD (Price: 4818.98, SL: 4850.77703226722, TP: 4735.74) SUCCEEDED, PendingOrder OID71
21/01/2026 17:00:00.006 | Info | Combo: bartime=2026-01-21 16:00, executed=2026-01-21 17:00:00, pending Sell placed at 4818.98; SL=4850.777032267224, TP=4735.7353695244055; valid for the next 3 chart bar(s).
21/01/2026 20:00:00.006 | Trade | Placing Stop Order to Sell 2 XAUUSD (Price: 4755.31, SL: 4800.17096052082, TP: 4637.86)
21/01/2026 20:00:00.006 | Trade | → Placing Stop Order to Sell 2 XAUUSD (Price: 4755.31, SL: 4800.17096052082, TP: 4637.86) SUCCEEDED, PendingOrder OID74
21/01/2026 20:00:00.006 | Info | Combo: bartime=2026-01-21 19:00, executed=2026-01-21 20:00:00, pending Sell placed at 4755.31; SL=4800.17096052082, TP=4637.864005356496; valid for the next 3 chart bar(s).
22/01/2026 00:00:00.005 | Trade | Cancelling pending order OID74
22/01/2026 00:00:00.005 | Trade | → Cancelling pending order OID74 SUCCEEDED
22/01/2026 00:00:00.005 | Info | Combo: pending order 74 cancelled after 3 chart bars.
22/01/2026 07:00:00.003 | Trade | Placing Stop Order to Buy 3 XAUUSD (Price: 4829.6, SL: 4805.38263583139, TP: 4893)
22/01/2026 07:00:00.003 | Trade | → Placing Stop Order to Buy 3 XAUUSD (Price: 4829.6, SL: 4805.38263583139, TP: 4893) SUCCEEDED, PendingOrder OID75
22/01/2026 07:00:00.003 | Info | Combo: bartime=2026-01-22 06:00, executed=2026-01-22 07:00:00, pending Buy placed at 4829.6; SL=4805.382635831391, TP=4893.00105939342; valid for the next 3 chart bar(s).
23/01/2026 09:00:00.005 | Trade | Placing Stop Order to Sell 3 XAUUSD (Price: 4900.83, SL: 4924.21456032696, TP: 4839.61)
23/01/2026 09:00:00.005 | Trade | → Placing Stop Order to Sell 3 XAUUSD (Price: 4900.83, SL: 4924.21456032696, TP: 4839.61) SUCCEEDED, PendingOrder OID78
23/01/2026 09:00:00.005 | Info | Combo: bartime=2026-01-23 08:00, executed=2026-01-23 09:00:00, pending Sell placed at 4900.83; SL=4924.214560326964, TP=4839.609221064008; valid for the next 3 chart bar(s).
26/01/2026 19:00:00.200 | Trade | Placing Stop Order to Sell 2 XAUUSD (Price: 5057.2, SL: 5088.33292772171, TP: 4975.69)
26/01/2026 19:00:00.200 | Trade | → Placing Stop Order to Sell 2 XAUUSD (Price: 5057.2, SL: 5088.33292772171, TP: 4975.69) SUCCEEDED, PendingOrder OID81
26/01/2026 19:00:00.200 | Info | Combo: bartime=2026-01-26 18:00, executed=2026-01-26 19:00:00, pending Sell placed at 5057.2; SL=5088.332927721705, TP=4975.693995224574; valid for the next 3 chart bar(s).
27/01/2026 03:00:00.006 | Info | Combo: bartime=2026-01-27 02:00, reversal - closing existing Sell position 24 before opening opposite direction.
27/01/2026 03:00:00.006 | Trade | Closing position PID24 (Volume: 2)
27/01/2026 03:00:00.006 | Trade | → Closing position PID24 (Volume: 2) SUCCEEDED
27/01/2026 03:00:00.006 | Trade | Placing Stop Order to Buy 2 XAUUSD (Price: 5080.23, SL: 5036.61804815626, TP: 5194.41)
27/01/2026 03:00:00.006 | Trade | → Placing Stop Order to Buy 2 XAUUSD (Price: 5080.23, SL: 5036.61804815626, TP: 5194.41) SUCCEEDED, PendingOrder OID85
27/01/2026 03:00:00.006 | Info | Combo: bartime=2026-01-27 02:00, executed=2026-01-27 03:00:00, pending Buy placed at 5080.23; SL=5036.618048156257, TP=5194.406089926919; valid for the next 3 chart bar(s).
27/01/2026 06:00:00.004 | Info | Combo: bartime=2026-01-27 05:00, Buy signal skipped: already have same-direction exposure open.
27/01/2026 15:00:00.006 | Info | Combo: bartime=2026-01-27 14:00, reversal - closing existing Buy position 25 before opening opposite direction.
27/01/2026 15:00:00.006 | Trade | Closing position PID25 (Volume: 2)
27/01/2026 15:00:00.006 | Trade | → Closing position PID25 (Volume: 2) SUCCEEDED
27/01/2026 15:00:00.006 | Trade | Placing Stop Order to Sell 3 XAUUSD (Price: 5046.02, SL: 5070.9655150552, TP: 4980.71)
27/01/2026 15:00:00.006 | Trade | → Placing Stop Order to Sell 3 XAUUSD (Price: 5046.02, SL: 5070.9655150552, TP: 4980.71) SUCCEEDED, PendingOrder OID89
27/01/2026 15:00:00.006 | Info | Combo: bartime=2026-01-27 14:00, executed=2026-01-27 15:00:00, pending Sell placed at 5046.02; SL=5070.965515055203, TP=4980.71264158548; valid for the next 3 chart bar(s).
27/01/2026 18:00:00.205 | Trade | Cancelling pending order OID89
27/01/2026 18:00:00.205 | Trade | → Cancelling pending order OID89 SUCCEEDED
27/01/2026 18:00:00.205 | Info | Combo: pending order 89 cancelled after 3 chart bars.
29/01/2026 16:00:00.000 | Info | Combo: SIZE TOO SMALL - signal skipped. Risking 1% of balance ($91.07) over a stop-loss of 118.1 pips only needs 0.77 units, which is below the broker minimum of 1.00. No order sent.
02/02/2026 12:00:00.005 | Info | Combo: SIZE TOO SMALL - signal skipped. Risking 1% of balance ($91.07) over a stop-loss of 111.2 pips only needs 0.82 units, which is below the broker minimum of 1.00. No order sent.
02/02/2026 20:00:00.007 | Trade | Placing Stop Order to Buy 1 XAUUSD (Price: 4712.97, SL: 4622.33004947411, TP: 4950.27)
02/02/2026 20:00:00.007 | Trade | → Placing Stop Order to Buy 1 XAUUSD (Price: 4712.97, SL: 4622.33004947411, TP: 4950.27) SUCCEEDED, PendingOrder OID90
02/02/2026 20:00:00.007 | Info | Combo: bartime=2026-02-02 19:00, executed=2026-02-02 20:00:00, pending Buy placed at 4712.97; SL=4622.3300494741125, TP=4950.265390476774; valid for the next 3 chart bar(s).
03/02/2026 00:00:00.468 | Info | Combo: bartime=2026-02-02 23:00, Buy signal skipped: already have same-direction exposure open.
04/02/2026 15:00:00.490 | Trade | Placing Stop Order to Sell 2 XAUUSD (Price: 4965.59, SL: 5011.59700344204, TP: 4845.14)
04/02/2026 15:00:00.490 | Trade | → Placing Stop Order to Sell 2 XAUUSD (Price: 4965.59, SL: 5011.59700344204, TP: 4845.14) SUCCEEDED, PendingOrder OID93
04/02/2026 15:00:00.490 | Info | Combo: bartime=2026-02-04 14:00, executed=2026-02-04 15:00:00, pending Sell placed at 4965.59; SL=5011.597003442042, TP=4845.1436649887355; valid for the next 3 chart bar(s).
05/02/2026 00:00:00.002 | Trade | Placing Stop Order to Buy 1 XAUUSD (Price: 5024.01, SL: 4972.5811343678, TP: 5158.65)
05/02/2026 00:00:00.002 | Trade | → Placing Stop Order to Buy 1 XAUUSD (Price: 5024.01, SL: 4972.5811343678, TP: 5158.65) SUCCEEDED, PendingOrder OID96
05/02/2026 00:00:00.002 | Info | Combo: bartime=2026-02-04 23:00, executed=2026-02-05 00:00:00, pending Buy placed at 5024.01; SL=4972.5811343678015, TP=5158.6507702250965; valid for the next 3 chart bar(s).
05/02/2026 03:00:00.006 | Trade | Cancelling pending order OID96
05/02/2026 03:00:00.006 | Trade | → Cancelling pending order OID96 SUCCEEDED
05/02/2026 03:00:00.006 | Info | Combo: pending order 96 cancelled after 3 chart bars.
06/02/2026 06:00:00.004 | Trade | Placing Stop Order to Buy 1 XAUUSD (Price: 4898.3, SL: 4831.86954691027, TP: 5072.21)
06/02/2026 06:00:00.004 | Trade | → Placing Stop Order to Buy 1 XAUUSD (Price: 4898.3, SL: 4831.86954691027, TP: 5072.21) SUCCEEDED, PendingOrder OID97
06/02/2026 06:00:00.004 | Info | Combo: bartime=2026-02-06 05:00, executed=2026-02-06 06:00:00, pending Buy placed at 4898.3; SL=4831.869546910267, TP=5072.214926188923; valid for the next 3 chart bar(s).
10/02/2026 00:00:00.000 | Trade | Placing Stop Order to Sell 2 XAUUSD (Price: 4986.78, SL: 5025.82766444605, TP: 4884.55)
10/02/2026 00:00:00.000 | Trade | → Placing Stop Order to Sell 2 XAUUSD (Price: 4986.78, SL: 5025.82766444605, TP: 4884.55) SUCCEEDED, PendingOrder OID100
10/02/2026 00:00:00.000 | Info | Combo: bartime=2026-02-09 23:00, executed=2026-02-10 00:00:00, pending Sell placed at 4986.78; SL=5025.827664446048, TP=4884.553214480245; valid for the next 3 chart bar(s).
10/02/2026 03:00:00.203 | Trade | Cancelling pending order OID100
10/02/2026 03:00:00.203 | Trade | → Cancelling pending order OID100 SUCCEEDED
10/02/2026 03:00:00.203 | Info | Combo: pending order 100 cancelled after 3 chart bars.
10/02/2026 04:00:00.204 | Trade | Placing Stop Order to Sell 2 XAUUSD (Price: 5015.64, SL: 5047.2836833571, TP: 4932.8)
10/02/2026 04:00:00.204 | Trade | → Placing Stop Order to Sell 2 XAUUSD (Price: 5015.64, SL: 5047.2836833571, TP: 4932.8) SUCCEEDED, PendingOrder OID101
10/02/2026 04:00:00.204 | Info | Combo: bartime=2026-02-10 03:00, executed=2026-02-10 04:00:00, pending Sell placed at 5015.64; SL=5047.283683357102, TP=4932.796836971109; valid for the next 3 chart bar(s).
10/02/2026 07:00:00.007 | Info | Combo: bartime=2026-02-10 06:00, Sell signal skipped: already have same-direction exposure open.
10/02/2026 10:00:00.204 | Trade | Placing Stop Order to Buy 3 XAUUSD (Price: 5063.42, SL: 5038.00211731004, TP: 5129.96)
