Info | CBot instance [MA Cross, BTCUSD, m20] started.
17/01/2026 05:40:00.282 | Info | MA Cross: bartime=2026-01-17 05:20, executed=2026-01-17 05:40:00, market Sell placed; SL=78.55506927368477 pips, TP=205.6571713585067 pips.
17/01/2026 14:40:00.065 | Info | MA Cross: MARGIN GUARD - order size reduced. Signal wanted 1.01 units, which needs about $67488.15 margin. Limit hit: MaxMarginPercent limit hit (50.0% of equity = $5063.69 budget, free margin was $10127.38). Size was cut from 1.01 to 0.07 units. Real risk on this trade is now about $6.95 (0.07% of balance) instead of the requested 1.00%.
17/01/2026 14:40:00.065 | Trade | Executing Market Order to Buy 0.07 BTCUSD (SL: 99.31, TP: 260.01)
17/01/2026 14:40:00.065 | Trade | → Executing Market Order to Buy 0.07 BTCUSD (SL: 99.31, TP: 260.01) SUCCEEDED, Position PID30
17/01/2026 14:40:00.065 | Info | MA Cross: bartime=2026-01-17 14:20, executed=2026-01-17 14:40:00, market Buy placed; SL=99.31442300001908 pips, TP=260.00515941404996 pips.
17/01/2026 22:05:00.003 | Info | MA Cross: MARGIN GUARD - order size reduced. Signal wanted 1.58 units, which needs about $105575.52 margin. Limit hit: MaxMarginPercent limit hit (50.0% of equity = $5059.79 budget, free margin was $10119.57). Size was cut from 1.58 to 0.07 units. Real risk on this trade is now about $4.48 (0.04% of balance) instead of the requested 1.00%.
17/01/2026 22:05:00.003 | Trade | Executing Market Order to Sell 0.07 BTCUSD (SL: 64, TP: 167.54)
17/01/2026 22:05:00.003 | Trade | → Executing Market Order to Sell 0.07 BTCUSD (SL: 64, TP: 167.54) SUCCEEDED, Position PID31
17/01/2026 22:05:00.003 | Info | MA Cross: bartime=2026-01-17 21:40, executed=2026-01-17 22:05:00, market Sell placed; SL=63.995227065199 pips, TP=167.539504456691 pips.
18/01/2026 09:00:00.216 | Info | MA Cross: MARGIN GUARD - order size reduced. Signal wanted 1.51 units, which needs about $100898.12 margin. Limit hit: MaxMarginPercent limit hit (50.0% of equity = $5065.75 budget, free margin was $10131.50). Size was cut from 1.51 to 0.07 units. Real risk on this trade is now about $4.68 (0.05% of balance) instead of the requested 1.00%.
18/01/2026 09:00:00.216 | Trade | Executing Market Order to Buy 0.07 BTCUSD (SL: 66.79, TP: 174.87)
18/01/2026 09:00:00.216 | Trade | → Executing Market Order to Buy 0.07 BTCUSD (SL: 66.79, TP: 174.87) SUCCEEDED, Position PID32
18/01/2026 09:00:00.216 | Info | MA Cross: bartime=2026-01-18 08:40, executed=2026-01-18 09:00:00, market Buy placed; SL=66.79346897907061 pips, TP=174.86530178720685 pips.
18/01/2026 14:00:00.201 | Info | MA Cross: MARGIN GUARD - order size reduced. Signal wanted 0.88 units, which needs about $58801.56 margin. Limit hit: MaxMarginPercent limit hit (50.0% of equity = $5063.34 budget, free margin was $10126.67). Size was cut from 0.88 to 0.07 units. Real risk on this trade is now about $7.99 (0.08% of balance) instead of the requested 1.00%.
18/01/2026 14:00:00.201 | Trade | Executing Market Order to Sell 0.07 BTCUSD (SL: 114.18, TP: 298.91)
18/01/2026 14:00:00.201 | Trade | → Executing Market Order to Sell 0.07 BTCUSD (SL: 114.18, TP: 298.91) SUCCEEDED, Position PID33
18/01/2026 14:00:00.201 | Info | MA Cross: bartime=2026-01-18 13:40, executed=2026-01-18 14:00:00, market Sell placed; SL=114.17551713576283 pips, TP=298.9115038614271 pips.
18/01/2026 18:00:03.002 | Info | MA Cross: MARGIN GUARD - order size reduced. Signal wanted 1.10 units, which needs about $73501.95 margin. Limit hit: MaxMarginPercent limit hit (50.0% of equity = $5059.33 budget, free margin was $10118.66). Size was cut from 1.10 to 0.07 units. Real risk on this trade is now about $6.42 (0.06% of balance) instead of the requested 1.00%.
18/01/2026 18:00:03.002 | Trade | Executing Market Order to Buy 0.07 BTCUSD (SL: 91.68, TP: 240.02)
18/01/2026 18:00:03.002 | Trade | → Executing Market Order to Buy 0.07 BTCUSD (SL: 91.68, TP: 240.02) SUCCEEDED, Position PID34
