Info | CBot instance [MA Cross, XAUUSD, m20] started.
27/01/2026 14:40:00.007 | Trade | Executing Market Order to Sell 6 XAUUSD (SL: 17.84, TP: 46.7)
27/01/2026 14:40:00.007 | Trade | → Executing Market Order to Sell 6 XAUUSD (SL: 17.84, TP: 46.7) SUCCEEDED, Position PID32
27/01/2026 14:40:00.007 | Info | MA Cross: bartime=2026-01-27 14:20, executed=2026-01-27 14:40:00, market Sell placed; SL=17.839524550987946 pips, TP=46.70387527448644 pips.
27/01/2026 19:00:00.204 | Trade | Executing Market Order to Buy 8 XAUUSD (SL: 12.55, TP: 32.87)
27/01/2026 19:00:00.204 | Trade | → Executing Market Order to Buy 8 XAUUSD (SL: 12.55, TP: 32.87) SUCCEEDED, Position PID33
27/01/2026 19:00:00.204 | Info | MA Cross: bartime=2026-01-27 18:40, executed=2026-01-27 19:00:00, market Buy placed; SL=12.55384445837072 pips, TP=32.865964792014545 pips.
28/01/2026 15:20:00.205 | Trade | Executing Market Order to Sell 3 XAUUSD (SL: 28.27, TP: 74)
28/01/2026 15:20:00.205 | Trade | → Executing Market Order to Sell 3 XAUUSD (SL: 28.27, TP: 74) SUCCEEDED, Position PID34
28/01/2026 15:20:00.205 | Info | MA Cross: bartime=2026-01-28 15:00, executed=2026-01-28 15:20:00, market Sell placed; SL=28.267610391404915 pips, TP=74.00460400469807 pips.
28/01/2026 16:40:00.203 | Trade | Executing Market Order to Buy 5 XAUUSD (SL: 21.97, TP: 57.51)
28/01/2026 16:40:00.203 | Trade | → Executing Market Order to Buy 5 XAUUSD (SL: 21.97, TP: 57.51) SUCCEEDED, Position PID35
28/01/2026 16:40:00.203 | Info | MA Cross: bartime=2026-01-28 16:20, executed=2026-01-28 16:40:00, market Buy placed; SL=21.968573216319196 pips, TP=57.513724680323655 pips.
29/01/2026 10:40:00.204 | Trade | Executing Market Order to Sell 4 XAUUSD (SL: 22.97, TP: 60.13)
29/01/2026 10:40:00.204 | Trade | → Executing Market Order to Sell 4 XAUUSD (SL: 22.97, TP: 60.13) SUCCEEDED, Position PID36
29/01/2026 10:40:00.204 | Info | MA Cross: bartime=2026-01-29 10:20, executed=2026-01-29 10:40:00, market Sell placed; SL=22.96774878147543 pips, TP=60.12956630990267 pips.
30/01/2026 01:00:00.201 | Trade | Executing Market Order to Buy 3 XAUUSD (SL: 36.36, TP: 95.19)
30/01/2026 01:00:00.201 | Trade | → Executing Market Order to Buy 3 XAUUSD (SL: 36.36, TP: 95.19) SUCCEEDED, Position PID37
30/01/2026 01:00:00.201 | Info | MA Cross: bartime=2026-01-30 00:40, executed=2026-01-30 01:00:00, market Buy placed; SL=36.36144181321495 pips, TP=95.19425466699674 pips.
30/01/2026 03:40:00.004 | Trade | Executing Market Order to Sell 1 XAUUSD (SL: 70.64, TP: 184.94)
30/01/2026 03:40:00.004 | Trade | → Executing Market Order to Sell 1 XAUUSD (SL: 70.64, TP: 184.94) SUCCEEDED, Position PID38
30/01/2026 03:40:00.004 | Info | MA Cross: bartime=2026-01-30 03:20, executed=2026-01-30 03:40:00, market Sell placed; SL=70.64142441131725 pips, TP=184.93924910882853 pips.
02/02/2026 11:40:00.005 | Trade | Executing Market Order to Buy 2 XAUUSD (SL: 49.97, TP: 130.83)
02/02/2026 11:40:00.005 | Trade | → Executing Market Order to Buy 2 XAUUSD (SL: 49.97, TP: 130.83) SUCCEEDED, Position PID39
02/02/2026 11:40:00.005 | Info | MA Cross: bartime=2026-02-02 11:20, executed=2026-02-02 11:40:00, market Buy placed; SL=49.9725956535412 pips, TP=130.82825542097086 pips.
02/02/2026 18:20:00.002 | Trade | Executing Market Order to Sell 2 XAUUSD (SL: 52.58, TP: 137.66)
02/02/2026 18:20:00.002 | Trade | → Executing Market Order to Sell 2 XAUUSD (SL: 52.58, TP: 137.66) SUCCEEDED, Position PID40
02/02/2026 18:20:00.002 | Info | MA Cross: bartime=2026-02-02 18:00, executed=2026-02-02 18:20:00, market Sell placed; SL=52.581355312026616 pips, TP=137.65798820688568 pips.
03/02/2026 00:40:00.005 | Trade | Executing Market Order to Buy 2 XAUUSD (SL: 42.38, TP: 110.96)
03/02/2026 00:40:00.005 | Trade | → Executing Market Order to Buy 2 XAUUSD (SL: 42.38, TP: 110.96) SUCCEEDED, Position PID41
03/02/2026 00:40:00.005 | Info | MA Cross: bartime=2026-02-03 00:20, executed=2026-02-03 00:40:00, market Buy placed; SL=42.384864480792075 pips, TP=110.96357521071364 pips.
04/02/2026 12:20:00.004 | Trade | Executing Market Order to Sell 5 XAUUSD (SL: 21.06, TP: 55.14)
04/02/2026 12:20:00.004 | Trade | → Executing Market Order to Sell 5 XAUUSD (SL: 21.06, TP: 55.14) SUCCEEDED, Position PID42
04/02/2026 12:20:00.004 | Info | MA Cross: bartime=2026-02-04 12:00, executed=2026-02-04 12:20:00, market Sell placed; SL=21.062928415373097 pips, TP=55.142746591446766 pips.
05/02/2026 00:20:00.002 | Trade | Executing Market Order to Buy 4 XAUUSD (SL: 24.37, TP: 63.79)
05/02/2026 00:20:00.002 | Trade | → Executing Market Order to Buy 4 XAUUSD (SL: 24.37, TP: 63.79) SUCCEEDED, Position PID43
05/02/2026 00:20:00.002 | Info | MA Cross: bartime=2026-02-05 00:00, executed=2026-02-05 00:20:00, market Buy placed; SL=24.366570104907034 pips, TP=63.79168053464661 pips.
05/02/2026 04:20:00.003 | Trade | Executing Market Order to Sell 2 XAUUSD (SL: 45.72, TP: 119.7)
05/02/2026 04:20:00.003 | Trade | → Executing Market Order to Sell 2 XAUUSD (SL: 45.72, TP: 119.7) SUCCEEDED, Position PID44
05/02/2026 04:20:00.003 | Info | MA Cross: bartime=2026-02-05 04:00, executed=2026-02-05 04:20:00, market Sell placed; SL=45.723220453741206 pips, TP=119.70339114789448 pips.
05/02/2026 21:00:00.011 | Trade | Executing Market Order to Sell 4 XAUUSD (SL: 25.78, TP: 67.48)
05/02/2026 21:00:00.011 | Trade | → Executing Market Order to Sell 4 XAUUSD (SL: 25.78, TP: 67.48) SUCCEEDED, Position PID45
05/02/2026 21:00:00.011 | Info | MA Cross: bartime=2026-02-05 20:40, executed=2026-02-05 21:00:00, market Sell placed; SL=25.775916080817804 pips, TP=67.48134829958101 pips.
06/02/2026 05:40:00.006 | Trade | Executing Market Order to Buy 3 XAUUSD (SL: 28.25, TP: 73.97)
06/02/2026 05:40:00.006 | Trade | → Executing Market Order to Buy 3 XAUUSD (SL: 28.25, TP: 73.97) SUCCEEDED, Position PID46
06/02/2026 05:40:00.006 | Info | MA Cross: bartime=2026-02-06 05:20, executed=2026-02-06 05:40:00, market Buy placed; SL=28.25291049541557 pips, TP=73.96611967699796 pips.
09/02/2026 10:40:00.400 | Trade | Executing Market Order to Sell 5 XAUUSD (SL: 19.75, TP: 51.69)
09/02/2026 10:40:00.400 | Trade | → Executing Market Order to Sell 5 XAUUSD (SL: 19.75, TP: 51.69) SUCCEEDED, Position PID47
09/02/2026 10:40:00.400 | Info | MA Cross: bartime=2026-02-09 10:20, executed=2026-02-09 10:40:00, market Sell placed; SL=19.745782102338243 pips, TP=51.694457543921516 pips.
09/02/2026 15:40:00.206 | Trade | Executing Market Order to Buy 5 XAUUSD (SL: 19.76, TP: 51.73)
09/02/2026 15:40:00.206 | Trade | → Executing Market Order to Buy 5 XAUUSD (SL: 19.76, TP: 51.73) SUCCEEDED, Position PID48
09/02/2026 15:40:00.206 | Info | MA Cross: bartime=2026-02-09 15:20, executed=2026-02-09 15:40:00, market Buy placed; SL=19.761068141388158 pips, TP=51.73447639415419 pips.
10/02/2026 01:20:00.007 | Trade | Executing Market Order to Sell 4 XAUUSD (SL: 24.16, TP: 63.24)
10/02/2026 01:20:00.007 | Trade | → Executing Market Order to Sell 4 XAUUSD (SL: 24.16, TP: 63.24) SUCCEEDED, Position PID49
10/02/2026 01:20:00.007 | Info | MA Cross: bartime=2026-02-10 01:00, executed=2026-02-10 01:20:00, market Sell placed; SL=24.156860175856195 pips, TP=63.24265994039152 pips.
10/02/2026 09:20:00.199 | Trade | Executing Market Order to Buy 6 XAUUSD (SL: 15.42, TP: 40.37)
10/02/2026 09:20:00.199 | Trade | → Executing Market Order to Buy 6 XAUUSD (SL: 15.42, TP: 40.37) SUCCEEDED, Position PID50
10/02/2026 09:20:00.199 | Info | MA Cross: bartime=2026-02-10 09:00, executed=2026-02-10 09:20:00, market Buy placed; SL=15.420740358167231 pips, TP=40.37149825768181 pips.
10/02/2026 16:40:00.004 | Trade | Executing Market Order to Sell 4 XAUUSD (SL: 23.17, TP: 60.66)
10/02/2026 16:40:00.004 | Trade | → Executing Market Order to Sell 4 XAUUSD (SL: 23.17, TP: 60.66) SUCCEEDED, Position PID51
10/02/2026 16:40:00.004 | Info | MA Cross: bartime=2026-02-10 16:20, executed=2026-02-10 16:40:00, market Sell placed; SL=23.169489678853267 pips, TP=60.65772397923785 pips.
11/02/2026 00:40:00.000 | Trade | Executing Market Order to Buy 7 XAUUSD (SL: 13.53, TP: 35.42)
11/02/2026 00:40:00.000 | Trade | → Executing Market Order to Buy 7 XAUUSD (SL: 13.53, TP: 35.42) SUCCEEDED, Position PID52
11/02/2026 00:40:00.000 | Info | MA Cross: bartime=2026-02-11 00:20, executed=2026-02-11 00:40:00, market Buy placed; SL=13.528159220667398 pips, TP=35.416720839707246 pips.
11/02/2026 19:20:00.000 | Trade | Executing Market Order to Buy 6 XAUUSD (SL: 15.86, TP: 41.52)
11/02/2026 19:20:00.000 | Trade | → Executing Market Order to Buy 6 XAUUSD (SL: 15.86, TP: 41.52) SUCCEEDED, Position PID53
11/02/2026 19:20:00.000 | Info | MA Cross: bartime=2026-02-11 19:00, executed=2026-02-11 19:20:00, market Buy placed; SL=15.8577495987231 pips, TP=41.51558844945707 pips.
12/02/2026 01:40:00.406 | Trade | Executing Market Order to Sell 7 XAUUSD (SL: 14.41, TP: 37.73)
12/02/2026 01:40:00.406 | Trade | → Executing Market Order to Sell 7 XAUUSD (SL: 14.41, TP: 37.73) SUCCEEDED, Position PID54
12/02/2026 01:40:00.406 | Info | MA Cross: bartime=2026-02-12 01:20, executed=2026-02-12 01:40:00, market Sell placed; SL=14.41267743677742 pips, TP=37.732389529483285 pips.
12/02/2026 09:40:00.007 | Trade | Executing Market Order to Buy 9 XAUUSD (SL: 11.17, TP: 29.25)
12/02/2026 09:40:00.007 | Trade | → Executing Market Order to Buy 9 XAUUSD (SL: 11.17, TP: 29.25) SUCCEEDED, Position PID55
12/02/2026 09:40:00.007 | Info | MA Cross: bartime=2026-02-12 09:20, executed=2026-02-12 09:40:00, market Buy placed; SL=11.17320188250683 pips, TP=29.251442528402883 pips.
12/02/2026 14:20:00.606 | Trade | Executing Market Order to Sell 7 XAUUSD (SL: 14.2, TP: 37.18)
