bartime,open,high,low,close,volume
2025-06-10 11:15:00,24140.6,24181.1,24140.6,24175.6,1348.0
2025-06-10 12:00:00,24176.1,24191.6,24169.6,24184.1,1387.0
2025-06-10 12:45:00,24184.6,24213.6,24165.1,24212.1,1735.0
2025-06-10 13:30:00,24211.6,24220.6,24139.1,24148.6,4769.0
2025-06-10 14:15:00,24148.1,24162.1,24087.1,24093.1,2966.0
2025-06-10 15:00:00,24093.6,24113.6,24057.6,24090.1,2763.0
2025-06-10 15:45:00,24089.6,24099.1,24059.1,24096.6,1675.0
2025-06-10 16:30:00,24097.1,24118.6,24088.1,24118.6,1386.0
2025-06-10 17:15:00,24118.1,24135.6,24101.6,24121.6,1540.0
2025-06-10 18:00:00,24120.6,24138.6,24099.6,24134.6,1929.0
2025-06-10 18:45:00,24134.1,24214.8,24126.6,24198.6,2693.0
2025-06-10 19:30:00,24198.3,24216.0,24172.9,24173.5,3376.0
2025-06-10 20:15:00,24174.4,24209.4,24174.4,24190.7,1041.0
2025-06-10 21:00:00,24194.0,24194.0,24184.7,24185.6,73.0
2025-06-10 21:45:00,24185.4,24194.3,24179.3,24185.8,642.0
2025-06-10 22:30:00,24185.7,24251.2,24165.0,24204.3,1684.0
2025-06-10 23:15:00,24203.9,24243.5,24182.5,24197.6,1639.0
2025-06-11 00:00:00,24195.7,24219.2,24177.3,24187.1,2073.0
2025-06-11 00:45:00,24188.0,24225.5,24170.2,24184.0,2354.0
2025-06-11 01:30:00,24183.5,24386.5,24174.0,24367.5,9114.0
2025-06-11 02:15:00,24367.0,24417.5,24307.5,24332.0,7234.0
2025-06-11 03:00:00,24333.0,24435.0,24310.0,24411.5,5154.0
2025-06-11 03:45:00,24412.0,24424.5,24391.4,24392.4,1155.0
2025-06-11 04:30:00,24392.7,24448.0,24372.7,24422.5,2555.0
2025-06-11 05:15:00,24423.0,24449.0,24386.0,24404.0,4598.0
2025-06-11 06:00:00,24404.5,24459.5,24403.0,24419.5,4530.0
