bartime,fast_ma,slow_ma,macd_h
2025-09-08 19:45:00,25622.784615384615,25542.83235294118,4.662372769046186
2025-09-08 20:30:00,25629.684615384616,25552.25294117647,4.228177125905532
2025-09-08 21:00:00,25636.261538461535,25561.564705882356,2.712645540354444
2025-09-08 21:45:00,25641.507692307692,25570.497058823526,1.0872615289787149
2025-09-08 22:30:00,25647.353846153845,25579.394117647058,-0.9887947027008863
2025-09-08 23:15:00,25656.030769230772,25587.40588235294,-4.78579551500718
2025-09-09 00:00:00,25659.561538461538,25594.517647058823,-7.277416246504572
2025-09-09 00:45:00,25664.423076923078,25601.99411764706,-5.715248836457704
2025-09-09 01:30:00,25692.53846153846,25619.01176470588,43.639570143326935
2025-09-09 02:15:00,25720.56923076923,25633.300000000003,57.36512230728253
2025-09-09 03:00:00,25735.476923076923,25644.15882352941,25.73251792205795
2025-09-09 03:45:00,25750.969230769228,25654.370588235295,10.978804496369776
2025-09-09 04:30:00,25764.915384615386,25664.214705882354,-1.3473782472829043
2025-09-09 05:15:00,25771.90769230769,25673.03529411765,-18.82386904540182
2025-09-09 06:00:00,25782.69230769231,25682.273529411767,-17.33703141618028
2025-09-09 06:45:00,25801.5,25691.361764705885,2.169469086814672
2025-09-09 07:30:00,25816.707692307693,25698.264705882353,0.5235237804380404
2025-09-09 08:15:00,25832.030769230772,25705.852941176472,-1.9417365038990226
2025-09-09 09:00:00,25851.73076923077,25715.767647058823,3.2556018647118776
2025-09-09 09:45:00,25871.546153846153,25725.808823529413,2.7622939188852627
2025-09-09 10:30:00,25889.784615384615,25736.144117647054,-0.6842369494471825
2025-09-09 11:15:00,25884.338461538464,25745.744117647057,-7.656233104697193
2025-09-09 12:00:00,25876.94615384616,25754.441176470587,-14.380726405483756
2025-09-09 12:45:00,25881.723076923077,25762.941176470587,-16.792593641884963
2025-09-09 13:30:00,25890.153846153848,25772.932352941178,-4.753175512893506
2025-09-09 14:15:00,25900.59230769231,25783.50588235294,1.3011551362635885
2025-09-09 15:00:00,25912.44615384616,25794.238235294117,-5.255702036838997
2025-09-09 15:45:00,25920.85384615385,25803.138235294115,-8.416104008988441
2025-09-09 16:30:00,25919.553846153845,25811.529411764706,-13.258789851385401
2025-09-09 17:15:00,25923.930769230767,25821.28823529412,-9.478955835659804
2025-09-09 18:00:00,25927.06923076923,25830.364705882355,-10.373457454481553
2025-09-09 18:45:00,25928.430769230767,25839.741176470587,-6.539652453503919
2025-09-09 19:30:00,25931.800000000003,25849.367647058825,-0.908209117595959
2025-09-09 20:15:00,25935.815384615384,25858.920588235294,0.9579377438149379
2025-09-09 21:00:00,25942.28461538461,25867.90588235294,2.1965917405820505
2025-09-09 21:45:00,25949.884615384617,25876.870588235295,0.65427678701883
2025-09-09 22:30:00,25956.484615384616,25885.379411764705,-3.4343751938291405
2025-09-09 23:15:00,25956.876923076925,25893.514705882353,-7.328862375029587
